,ID,MTS,AMOUNT,PRICE
36,264772307,1530625363510,-14.0,6562.2
37,264772306,1530625363508,-0.0875,6562.6
38,264772303,1530625363505,-0.007,6563.0
39,264772301,1530625363502,-1.52,6563.38136461
40,264772298,1530625363496,-0.03,6563.4
41,264772296,1530625363492,-2.283,6563.5
42,264772294,1530625363488,-0.12347888,6563.8
43,264772292,1530625363479,-3.69413428,6563.8
44,264772155,1530625351609,-0.01577897,6566.0
45,264772154,1530625351607,-0.03743179,6566.2
46,264772144,1530625351433,-0.003434,6566.2
47,264772072,1530625346660,-0.00456513,6566.2
0,264773215,1530625480356,0.0186,6560.0
1,264773214,1530625480203,0.02,6560.0
2,264773213,1530625479855,0.02,6560.0
3,264773207,1530625479515,0.12,6560.0
4,264773206,1530625479434,0.02,6560.0
5,264773203,1530625478961,0.02,6560.0
6,264773202,1530625478950,0.152,6560.0
7,264773201,1530625478662,0.02,6560.0
8,264773200,1530625478447,0.04,6560.0
9,264773199,1530625478445,0.02,6560.0
10,264773198,1530625478437,0.1,6560.0
11,264773197,1530625478435,0.01,6560.0
12,264773196,1530625478425,0.09,6560.0
13,264773195,1530625478271,0.02,6560.0
14,264773192,1530625477911,0.03,6560.0
15,264773191,1530625477807,0.03,6560.0
16,264773190,1530625477708,4.41389707,6560.0
17,264773189,1530625477705,0.03,6560.0
18,264773184,1530625477612,0.03,6560.0
19,264773180,1530625477509,0.03,6560.0
20,264773179,1530625477396,0.15,6560.0
21,264773178,1530625477292,0.11,6560.0
22,264773177,1530625477282,0.017,6560.0
23,264773135,1530625473811,0.00454519,6560.0
24,264773134,1530625473596,-0.00611324,6559.9
25,264773128,1530625472011,0.11832263,6560.0
26,264773127,1530625471624,1.24,6560.0
27,264773125,1530625471283,0.29306872,6560.0
28,264773124,1530625471231,0.33566971,6560.0
29,264773122,1530625471189,2.5,6560.0
30,264773121,1530625471160,0.0527,6560.0
31,264773120,1530625471158,0.07,6560.0
32,264773119,1530625471044,2.5,6560.0
33,264773118,1530625470890,2.282,6560.0
34,264773117,1530625470884,2.131,6560.0
35,264773116,1530625470880,0.152,6559.9
36,264773114,1530625470044,0.0153,6560.0
37,264773112,1530625469768,0.152,6560.0
38,264773108,1530625469586,1.52,6560.0
39,264773107,1530625469572,0.0109,6560.0
40,264773106,1530625469224,0.03,6560.0
41,264773105,1530625469192,0.0217,6560.0
42,264773104,1530625469090,0.02,6560.0
43,264773102,1530625468987,0.16,6560.0
44,264773101,1530625468967,0.03,6560.0
45,264773100,1530625468934,0.01,6560.0
46,264773099,1530625468874,0.01,6560.0
47,264773098,1530625468866,0.03,6560.0
48,264773097,1530625468864,0.09,6560.0
49,264773096,1530625468862,0.04,6560.0
50,264773095,1530625468842,0.03,6560.0
51,264773093,1530625468727,0.03,6560.0
52,264773092,1530625468604,0.03,6560.0
53,264773091,1530625468593,0.12508756,6560.0
54,264773090,1530625468572,0.0434,6560.0
55,264773088,1530625468106,1.22517392,6560.0
56,264773087,1530625468073,0.0868,6560.0
57,264773083,1530625467878,0.01,6560.0
58,264773081,1530625467809,0.75,6560.0
59,264773080,1530625467807,0.29097036,6560.0
60,264773079,1530625467796,0.34166369,6560.0
61,264773078,1530625467785,0.02,6560.0
62,264773077,1530625467611,3.78458439,6560.0
63,264773075,1530625467582,0.83555176,6560.0
64,264773074,1530625467579,0.1748,6560.0
65,264773073,1530625467569,0.51165326,6560.0
66,264773072,1530625467477,0.33492664,6560.0
67,264773067,1530625467310,7.13876076,6560.0
68,264773066,1530625467197,7.13876076,6560.0
69,264773062,1530625467114,0.3995,6560.0
70,264773061,1530625466432,0.18294217,6560.0
71,264773060,1530625466429,0.03,6559.9
72,264773059,1530625466425,1.31998031,6559.9
73,264773058,1530625466423,0.02548282,6559.5
74,264773057,1530625466418,0.15208036,6559.42050259
75,264773040,1530625459973,0.0148785,6559.42050259
76,264773032,1530625457253,0.0819,6559.42050259
77,264773008,1530625451846,-0.2,6559.3
78,264773006,1530625451838,0.11705504,6559.5
79,264773005,1530625451835,0.18294496,6559.4
80,264773001,1530625450149,0.66761114,6559.5
81,264773000,1530625450146,0.01064645,6559.5
82,264772999,1530625450144,0.378,6559.4
83,264772998,1530625450142,1.5,6559.4
84,264772997,1530625450141,0.152,6559.4
85,264772996,1530625450139,2.04622274,6559.4
86,264772963,1530625446208,-0.24631142,6559.3
87,264772936,1530625438354,-0.0152,6559.3
88,264772926,1530625434530,0.2,6559.4
89,264772923,1530625433302,-0.0152,6559.3
90,264772907,1530625428199,-0.0152,6559.3
91,264772779,1530625410122,-0.07603564,6559.3
0,264773416,1530625551049,0.09957529,6556.2
1,264773415,1530625550967,-1.3925,6556.1
2,264773413,1530625550833,0.002,6556.2
3,264773412,1530625550822,-0.005,6556.1
4,264773411,1530625550817,-0.015,6556.1
5,264773410,1530625550808,-2.3881,6556.1
6,264773409,1530625550806,-0.005,6556.1
7,264773407,1530625550407,-0.003,6557.55656752
8,264773405,1530625550401,-0.0689,6558.0
9,264773398,1530625548229,-0.0811,6558.0
10,264773377,1530625537300,-0.02,6559.9
11,264773356,1530625528676,-0.02,6559.9
12,264773304,1530625510397,-0.01,6559.9
13,264773285,1530625506416,-0.0040168,6559.9
14,264773277,1530625504806,-0.00896991,6559.9
15,264773275,1530625503351,-0.00909467,6559.9
16,264773272,1530625501700,-0.04387266,6559.9
17,264773271,1530625501629,-0.08713417,6559.9
18,264773266,1530625500982,0.15742257,6560.0
19,264773260,1530625497942,0.01,6560.0
20,264773257,1530625496178,0.02354687,6560.0
21,264773252,1530625494023,0.077,6560.0
22,264773237,1530625490441,-0.005343,6559.9
23,264773215,1530625480356,0.0186,6560.0
0,264773435,1530625552519,-0.15,6556.0
1,264773434,1530625552516,-0.05,6556.03703
2,264773416,1530625551049,0.09957529,6556.2
0,264773438,1530625554637,-0.05,6556.0
1,264773435,1530625552519,-0.15,6556.0
0,264773877,1530625622113,-0.37476131,6554.3
1,264773876,1530625622104,-0.02523869,6554.3
2,264773872,1530625621734,-0.4,6554.3
3,264773870,1530625621394,-0.4,6554.3
4,264773867,1530625620992,-0.4,6554.3
5,264773865,1530625620788,0.02806724,6554.4
6,264773857,1530625620570,-0.4,6554.3
7,264773853,1530625620465,0.20900559,6554.4
8,264773842,1530625620226,-0.126,6554.4
9,264773833,1530625619897,-0.1712,6554.4
10,264773832,1530625619895,-0.2288,6555.8
11,264773828,1530625619419,-0.05,6550.0
12,264773827,1530625619416,-0.25,6550.0
13,264773826,1530625619414,-0.01022189,6550.0
14,264773825,1530625619411,-0.02335929,6550.0
15,264773824,1530625619409,-5.0,6550.0
16,264773823,1530625619406,-2.12376464,6550.0
17,264773822,1530625619405,-15.24564194,6550.0
18,264773821,1530625619403,-1.0,6550.0
19,264773820,1530625619400,-5.0,6550.0
20,264773819,1530625619398,-0.028725,6550.0
21,264773818,1530625619396,-0.01958728,6550.0
22,264773817,1530625619391,-0.37693694,6550.0
23,264773816,1530625619389,-5.0,6550.0
24,264773815,1530625619387,-0.015,6550.0
25,264773814,1530625619386,-0.01174242,6550.0
26,264773813,1530625619383,-0.002,6550.0
27,264773812,1530625619380,-1.42,6550.1
28,264773811,1530625619378,-1.0,6550.3
29,264773810,1530625619376,-0.26075016,6550.3
30,264773809,1530625619374,-0.1445162,6550.4
31,264773808,1530625619372,-1.37,6551.0
32,264773807,1530625619369,-0.003,6551.0
33,264773806,1530625619366,-0.003,6551.26578666
34,264773804,1530625619359,-0.05,6551.3
35,264773803,1530625619356,-0.003,6551.8
36,264773802,1530625619351,-0.4,6552.4
37,264773801,1530625619349,-12.39,6552.4
38,264773800,1530625619346,-0.01,6553.0
39,264773799,1530625619344,-0.01,6553.0
