,ID,MTS,AMOUNT,PRICE
46,264772149,1530625351520,-26.4,37.524
47,264772148,1530625351517,-1.74517,37.52683775
48,264772146,1530625351488,2.71189391,37.53
49,264772141,1530625351406,35.6405117,37.53
50,264772137,1530625351321,0.59962331,37.53
51,264772132,1530625351128,-1.2,37.53
52,264772131,1530625351125,-70.0,37.53
53,264772130,1530625351123,-11.53463838,37.53
54,264772129,1530625351120,-26.4,37.542
55,264772128,1530625351117,-26.0,37.561
56,264772119,1530625350859,-14.44274013,37.53
57,264772118,1530625350856,-1.0,37.538
58,264772117,1530625350852,-0.6,37.544
59,264772116,1530625350847,-34.83531265,37.545
60,264772115,1530625350807,-94.32656093,37.554
61,264772114,1530625350718,-2.0,37.556
62,264772113,1530625350715,-0.6,37.564
63,264772112,1530625350710,-0.62640075,37.566
64,264772111,1530625350707,-2.13311,37.571
65,264772110,1530625350706,-3.95,37.575
66,264772109,1530625350703,-163.27601,37.578
67,264772108,1530625350696,-14.0,37.579
68,264772107,1530625350694,-21.12194721,37.582
69,264772106,1530625350692,-6.375,37.593
70,264772105,1530625350593,-0.6,37.6
71,264772104,1530625350519,-15.0,37.604
72,264772103,1530625350518,-33.59,37.607
73,264772102,1530625350457,-65.0,37.611
74,264772093,1530625348022,-0.6,37.639
75,264772091,1530625347784,-0.6,37.66
76,264772085,1530625347174,-121.56142849,37.685
77,264772084,1530625347173,-34.72733468,37.686
78,264772083,1530625347072,-221.04658916,37.701
79,264772082,1530625347070,-0.00023911,37.705
80,264772077,1530625346710,-0.794,37.705
81,264772069,1530625346570,-121.55854041,37.708
82,264772068,1530625346569,-25.98446089,37.71
83,264772067,1530625346480,-5.51553911,37.71
84,264772066,1530625346474,-26.7787,37.711
85,264772063,1530625346351,-0.00023911,37.753
86,264772062,1530625346187,-0.794,37.753
87,264772042,1530625339281,-25.0,37.719
88,264771765,1530625213620,-36.79102645,37.796
0,264772754,1530625409832,-0.5,37.411
0,264772754,1530625409832,-0.5,37.411
0,264772754,1530625409832,-0.5,37.411
0,264772754,1530625409832,-0.5,37.411
0,264773208,1530625479523,-207.691818,37.49
1,264773193,1530625478213,-8.00565734,37.49
2,264773132,1530625473456,-13.8963377,37.49
3,264773130,1530625472720,-6.44359,37.49
4,264773129,1530625472659,-25.94,37.49
5,264773123,1530625471196,-17.14,37.49
6,264773111,1530625469746,42.308182,37.511
7,264773110,1530625469743,7.92,37.511
8,264773046,1530625464295,163.276,37.472
9,264773004,1530625451768,-0.6,37.489
10,264772968,1530625447325,14.29836745,37.506
11,264772967,1530625447322,6.64813255,37.503
12,264772905,1530625426598,-1.7892,37.416
13,264772754,1530625409832,-0.5,37.411
0,264773208,1530625479523,-207.691818,37.49
0,264773208,1530625479523,-207.691818,37.49
0,264773453,1530625555865,1.0,37.409
1,264773451,1530625555543,-0.6,37.414
2,264773450,1530625555539,-25.0,37.415
3,264773449,1530625555537,-7.71945428,37.415
4,264773437,1530625553569,-1.0,37.435
5,264773436,1530625553567,-0.6,37.435
6,264773274,1530625503249,-2.0,37.451
7,264773273,1530625502398,-2.0,37.452
8,264773263,1530625500607,-250.0,37.49
9,264773262,1530625499993,-150.0,37.49
10,264773248,1530625491019,-6.41677,37.49
